last_name,first_name,team,position,height_inches,weight_lbs,pts_per_game,rebounds_per_game,assists_per_game,salary
Hardaway Jr.,Tim,Dallas Mavericks,G-F,77,205.0,14.4,3.5,1.8,19602273
Harden,James,Philadelphia 76ers,G,77,220.0,21.0,6.1,10.7,33000000
Hardy,Jaden,Dallas Mavericks,G,75,198.0,8.8,1.9,1.4,1017781
Harrell,Montrezl,Philadelphia 76ers,F-C,79,240.0,5.6,2.8,0.6,2463490
Harris,Gary,Orlando Magic,G,76,210.0,8.3,2.0,1.2,13000000
Harris,Joe,Brooklyn Nets,G-F,78,220.0,7.6,2.2,1.4,18642857
Harris,Tobias,Philadelphia 76ers,F,79,226.0,14.7,5.7,2.5,37633050
Harrison,Shaquille,Portland Trail Blazers,G,76,195.0,8.8,4.4,6.0,12260
Hart,Josh,New York Knicks,G,76,215.0,9.8,7.8,3.8,12960000
Hartenstein,Isaiah,New York Knicks,C-F,84,250.0,5.0,6.5,1.2,7804879
Haslem,Udonis,Miami Heat,F,79,235.0,3.9,1.6,0.0,1836090
Hauser,Sam,Boston Celtics,F,79,217.0,6.4,2.6,0.9,1563518
Hayes,Jaxson,New Orleans Pelicans,C-F,84,220.0,5.0,2.8,0.7,6803012
Hayes,Killian,Detroit Pistons,G,77,195.0,10.3,2.9,6.2,5572680
Hayward,Gordon,Charlotte Hornets,F,79,225.0,14.7,4.3,4.1,30075000
Hernangomez,Willy,New Orleans Pelicans,C-F,83,250.0,6.9,4.7,0.9,2443581
Herro,Tyler,Miami Heat,G,77,195.0,20.1,5.4,4.2,5722116
Hield,Buddy,Indiana Pacers,G,76,220.0,16.8,5.0,2.8,22768890
Highsmith,Haywood,Miami Heat,F,77,220.0,4.4,3.5,0.8,1752638
Hill,George,Indiana Pacers,G,76,188.0,5.0,1.8,2.4,4000000
Holiday,Aaron,Atlanta Hawks,G,72,185.0,3.9,1.2,1.4,1836090
Holiday,Jrue,Milwaukee Bucks,G,77,205.0,19.3,5.1,7.4,33665040
Holiday,Justin,Dallas Mavericks,F-G,78,180.0,4.5,1.2,0.9,569821
Holmes,Richaun,Sacramento Kings,F,80,235.0,3.1,1.9,0.2,11215260
Holmgren,Chet,Oklahoma City Thunder,C-F,85,195.0,,,,9891240
Horford,Al,Boston Celtics,C-F,81,240.0,9.8,6.2,3.0,26500000
Horton-Tucker,Talen,Utah Jazz,G,76,234.0,10.7,3.2,3.8,10260000
House Jr.,Danuel,Philadelphia 76ers,F-G,78,220.0,4.8,1.7,0.8,4105000
Houstan,Caleb,Orlando Magic,G,80,205.0,3.8,1.9,0.6,2000000
Huerter,Kevin,Sacramento Kings,G-F,79,198.0,15.2,3.3,2.9,14508929
Hunter,De'Andre,Atlanta Hawks,F-G,80,221.0,15.4,4.2,1.4,9835881
Hyland,Bones,LA Clippers,G,74,169.0,11.8,2.4,3.1,2201520
Iguodala,Andre,Golden State Warriors,G-F,78,215.0,2.1,2.1,2.4,1836090
Ingles,Joe,Milwaukee Bucks,F-G,81,220.0,6.9,2.8,3.3,6479000
Ingram,Brandon,New Orleans Pelicans,F,80,190.0,24.7,5.5,5.8,31650600
Irving,Kyrie,Dallas Mavericks,G,74,195.0,27.1,5.1,5.5,38917057
Isaac,Jonathan,Orlando Magic,F,82,230.0,5.0,4.0,0.5,17400000
Ivey,Jaden,Detroit Pistons,G,76,195.0,16.3,3.9,5.2,7252200
Jackson,Isaiah,Indiana Pacers,F,81,205.0,7.2,4.5,0.8,2573760
Jackson,Reggie,Denver Nuggets,G,74,208.0,10.2,2.1,3.4,580373
Jackson Jr.,Jaren,Memphis Grizzlies,F-C,82,242.0,18.6,6.8,1.0,28946605
James,LeBron,Los Angeles Lakers,F,81,250.0,28.9,8.3,6.8,44474988
Jeffries,DaQuan,New York Knicks,G-F,77,222.0,3.8,1.9,0.6,300000
Jerome,Ty,Golden State Warriors,G-F,77,195.0,6.9,1.7,3.0,4220057
Joe,Isaiah,Oklahoma City Thunder,G,75,165.0,9.5,2.4,1.2,1836090
Johnson,Cameron,Brooklyn Nets,F,80,210.0,15.5,4.4,1.9,5887899
Johnson,Jalen,Atlanta Hawks,F,80,219.0,5.6,4.0,1.2,2792640
Johnson,James,Indiana Pacers,F,79,240.0,2.8,1.7,0.8,590926
Johnson,Keldon,San Antonio Spurs,F-G,77,220.0,22.0,5.0,2.9,3873025
Johnson,Keon,Portland Trail Blazers,G,75,185.0,4.7,1.1,1.5,2681040
Jokic,Nikola,Denver Nuggets,C,83,284.0,24.5,11.8,9.8,33047804
Jones,Carlik,Chicago Bulls,G,72,174.0,2.9,0.7,0.9,357717
Jones,Damian,Utah Jazz,C,83,245.0,3.5,3.0,0.4,2298385
Jones,Herbert,New Orleans Pelicans,F,79,206.0,9.8,4.1,2.5,1785000
Jones,Kai,Charlotte Hornets,C-F,83,221.0,3.4,2.7,0.3,2909040
Jones,Tre,San Antonio Spurs,G,73,185.0,12.9,3.6,6.6,1782621
Jones,Tyus,Memphis Grizzlies,G,74,196.0,10.3,2.5,5.2,1500000
Jones Jr.,Derrick,Chicago Bulls,F,78,210.0,5.0,2.4,0.5,3200000
Jordan,DeAndre,Denver Nuggets,C,83,265.0,5.1,5.2,0.9,1836090
Joseph,Cory,Detroit Pistons,G,75,200.0,6.9,1.7,3.5,5155500
Jovic,Nikola,Miami Heat,F,82,205.0,5.5,2.1,0.7,2239920
Kabengele,Mfiondu,Boston Celtics,C,82,250.0,1.5,2.5,0.0,1701593
Kaminsky,Frank,Houston Rockets,F-C,84,240.0,2.5,1.4,0.9,1836090
Kennard,Luke,Memphis Grizzlies,G,77,206.0,9.3,2.7,1.5,14415545
Kessler,Walker,Utah Jazz,C,84,245.0,9.2,8.4,0.9,2696400
Kispert,Corey,Washington Wizards,F,78,224.0,11.1,2.8,1.2,3552960
Kleber,Maxi,Dallas Mavericks,F,82,240.0,5.9,3.6,1.4,9000000
Knight,Nathan,Minnesota Timberwolves,F-C,80,253.0,3.7,1.5,0.3,1836090
Knox II,Kevin,Portland Trail Blazers,F,79,215.0,6.6,2.8,0.5,5845979
Koloko,Christian,Toronto Raptors,C,84,230.0,3.1,2.9,0.5,1500000
Konchar,John,Memphis Grizzlies,G,77,210.0,5.1,4.3,1.4,2300000
Korkmaz,Furkan,Philadelphia 76ers,G-F,79,202.0,3.8,1.1,0.6,5000000
Kornet,Luke,Boston Celtics,C-F,86,250.0,3.8,2.9,0.8,2133278
Krejci,Vit,Atlanta Hawks,G,80,195.0,1.2,0.9,0.6,1563518
Kuminga,Jonathan,Golden State Warriors,F,79,225.0,9.9,3.4,1.9,5739860
Kuzma,Kyle,Washington Wizards,F,81,221.0,21.2,7.2,3.7,13000000
LaRavia,Jake,Memphis Grizzlies,F,79,235.0,3.0,1.8,0.6,3047640
LaVine,Zach,Chicago Bulls,G,77,200.0,24.8,4.5,4.2,37096500
Lamb,Anthony,Golden State Warriors,F,78,227.0,6.7,3.5,1.5,253254
Landale,Jock,Phoenix Suns,C,83,255.0,6.6,4.1,1.0,1563518
Langford,Romeo,San Antonio Spurs,G-F,77,216.0,6.9,2.7,1.2,5634257
LeVert,Caris,Cleveland Cavaliers,G,78,205.0,12.1,3.8,3.9,18796296
Lee,Damion,Phoenix Suns,G-F,77,210.0,8.2,3.0,1.3,1836090
Lee,Saben,Philadelphia 76ers,G,74,183.0,6.0,1.8,2.7,1752638
Len,Alex,Sacramento Kings,C,86,250.0,1.7,2.3,0.5,3918000
Leonard,Kawhi,LA Clippers,F,79,225.0,23.8,6.5,3.9,42492492
Leonard,Meyers,Milwaukee Bucks,F-C,84,260.0,4.8,3.8,0.1,284911
Lewis Jr.,Kira,New Orleans Pelicans,G,73,170.0,4.6,1.3,0.9,4004280
Lillard,Damian,Portland Trail Blazers,G,74,195.0,32.2,4.8,7.3,42492492
Little,Nassir,Portland Trail Blazers,F-G,77,220.0,6.6,2.6,0.9,4171548
Livers,Isaiah,Detroit Pistons,F,78,232.0,6.7,2.8,0.8,1563518
Lofton Jr.,Kenneth,Memphis Grizzlies,F,78,275.0,5.0,2.1,0.8,1000000
Looney,Kevon,Golden State Warriors,F,81,222.0,7.0,9.3,2.5,8000000
Lopez,Brook,Milwaukee Bucks,C,85,282.0,15.9,6.7,1.3,13906976
Lopez,Robin,Cleveland Cavaliers,C,84,281.0,3.0,1.4,0.5,1836090
