participant_id,minutes_spent_sleeping
20180706180950,510
20180404180638,615
20180112172401,510
20180112171486,720
20180907181780,600
20180201180865,480
20181211180084,467
20180302180749,660
20180112170115,675
20181211182299,490
20180201181445,475
20181010181543,470
20180112171393,1033
20181110181324,600
20180212170612,525
20180112170059,605
20181009181079,570
20180302181345,534
20181009181466,390
20180302181185,430
20181211182084,569
20180706181218,480
20180604181357,430
20180707181702,610
20180303182511,750
20180101180555,580
20181009180679,540
20180302181517,405
20180403180902,420
20180302181806,585
20180302181572,535
20180402182323,600
20180908182298,600
20180504182495,480
20180404180683,570
20180907182510,600
20180404180639,236
20181010180615,690
20181010182425,725
20181009182099,685
20181009182108,657
20180212171177,510
20180908181456,450
20180908180902,480
20181110181226,610
20180301181990,510
20180101180956,540
20180403180599,570
20180706181892,690
20180201181876,660
20181211181997,385
20180908181453,380
20180302181073,490
20180403181852,360
20180503180608,465
20180403180585,610
20180605181406,480
20180504182151,0
20180707181837,560
20180101180108,540
20180706182398,326
20180403182346,720
20181009180586,715
20180706181666,840
20181110181606,750
20180808181678,720
20180908181109,765
20180807180132,720
20180201180509,660
20180605182432,660
20181212180604,600
20180807182198,490
20180807180817,385
20180504180110,420
20181211181536,678
20180302180100,240
20180604182449,525
20181110182510,690
20181009181347,620
20181009180538,450
20181010182107,750
20180404182194,420
20180404182069,450
20180404182445,410
20180404181076,660
20180705180536,600
20181110180564,540
20180807181296,448
20180302180158,450
20180908180149,540
20180705181893,690
20180302182008,365
20180605181247,350
20180807180848,390
20180706182356,615
20180504180715,532
20180606182004,480
20181009180794,540
20180201181189,690
20181009180696,780
20180605181784,520
20180908181054,600
20180705181317,540
20180908181505,570
20180606180063,660
20180111171407,660
20180212171830,480
20180909181552,720
20180112170118,420
20181210181130,705
20180706181316,420
20180201180531,560
20180605181591,540
20180403181023,780
20180403182152,300
20180807181364,385
20181211181066,240
20181211181480,495
20180403181741,305
20180201181811,378
20181110181955,735
20180706181385,655
20181110180827,553
20180909181824,510
20180807181023,470
20180302181288,720
20180707181118,675
20180101181326,885
20180706181530,360
20180112172101,510
