council_district,total_appr,finished_area,year
4,366600.0,3474.0,2009
35,239200.0,2533.0,2009
8,184800.0,2018.0,2009
7,144500.0,1364.0,2009
15,108100.0,896.0,2009
24,250800.0,1588.0,2009
33,153200.0,1994.0,2009
4,353700.0,3534.0,2009
28,94500.0,1406.0,2009
29,91200.0,1904.0,2009
34,448000.0,3559.0,2009
8,109600.0,1378.0,2009
24,150000.0,1002.0,2009
18,345000.0,2068.0,2009
25,181700.0,1226.0,2009
1,207500.0,2554.0,2009
17,268600.0,2192.0,2009
4,233700.0,3412.0,2009
29,136900.0,1911.0,2009
15,110200.0,1361.0,2009
19,59100.0,594.0,2009
6,104000.0,814.0,2009
6,104400.0,700.0,2009
23,1530500.0,5061.5,2009
8,79300.0,800.0,2009
27,143500.0,1592.5,2009
15,142800.0,1286.0,2009
12,144100.0,2141.0,2009
9,150900.0,1861.75,2009
4,229600.0,3030.5,2009
32,168300.0,1968.90247,2009
14,104900.0,1116.0,2009
8,96100.0,1026.0,2009
12,220700.0,2568.0,2009
12,223300.0,2547.0,2009
33,154700.0,2274.0,2009
12,209100.0,1998.0,2009
29,99900.0,1222.0,2009
14,115400.0,1211.0,2009
34,2997500.0,7090.3999,2009
9,93800.0,1082.0,2009
35,199000.0,2224.5600600000002,2009
20,144600.0,1409.0,2009
15,131900.0,1596.0,2009
28,109400.0,1346.5,2009
12,155300.0,1900.4000199999998,2009
23,169200.0,1458.0,2009
17,120100.0,825.0,2009
12,361900.0,3235.25,2009
20,38000.0,1408.0,2009
33,445400.0,3640.5,2009
9,139100.0,1512.0,2009
27,135800.0,1775.0,2009
20,30900.0,567.0,2009
1,228800.0,2300.0,2009
29,160649.0,2235.0,2009
8,85200.0,1104.0,2009
2,63200.0,960.0,2009
23,332900.0,2156.0,2009
15,144900.0,1756.0,2009
16,140500.0,1550.0,2009
26,129000.0,1325.0,2009
25,289500.0,1874.75,2009
12,175000.0,1573.0,2009
34,808600.0,4911.0,2009
24,493700.0,2915.8501,2009
15,144500.0,1561.0,2009
17,202300.0,1250.0,2009
1,1365000.0,6706.41992,2009
35,222900.0,2262.0,2009
27,129500.0,1342.0,2009
7,110000.0,1582.0,2009
35,248400.0,1851.0,2009
1,405200.0,3362.0,2009
35,220400.0,2102.0,2009
33,87000.0,1539.0,2009
16,123100.0,1075.0,2009
35,282800.0,3142.0,2009
2,62500.0,960.0,2009
28,72900.0,988.0,2009
