Permit #,Contact,Permit Type Description,Permit Subtype Description,Date Entered,Date Issued,wait_time
2019038623,PARAGON GROUP LLC,Building Residential - New,Single Family Residence,2019-06-28,2019-08-14,47
2019038698,PARAGON GROUP LLC,Building Residential - New,Single Family Residence,2019-06-28,2019-08-14,47
2019049457,PARAGON GROUP LLC,Building Residential - New,Single Family Residence,2019-08-16,2019-08-16,0
2019045087,PARAGON GROUP LLC,Building Residential - New,Single Family Residence,2019-07-30,2019-08-16,17
2019049455,PARAGON GROUP LLC,Building Residential - New,Single Family Residence,2019-08-16,2019-08-16,0
2019045076,PARAGON GROUP LLC,Building Residential - New,Single Family Residence,2019-07-30,2019-08-16,17
2020007873,LEGACY SOUTH BUILDERS LLC,Building Residential - New,Single Family Residence,2020-02-05,2020-02-06,1
2019049458,PARAGON GROUP LLC,Building Residential - New,Single Family Residence,2019-08-16,2019-08-16,0
2019045085,PARAGON GROUP LLC,Building Residential - New,Single Family Residence,2019-07-30,2019-08-16,17
2019045074,PARAGON GROUP LLC,Building Residential - New,Single Family Residence,2019-07-30,2019-08-16,17
2019075475,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-12-10,2019-12-31,21
2019066572,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-10-30,2019-11-13,14
2019045532,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2019-07-31,2019-08-19,19
2019045535,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2019-07-31,2019-08-19,19
2020017654,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2020-03-18,2020-03-26,8
2019045527,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2019-07-31,2019-08-19,19
2019045529,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2019-07-31,2019-08-19,19
2019026749,PARAGON GROUP LLC,Building Residential - New,Single Family Residence,2019-05-08,2019-07-16,69
2017044479,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2017-07-07,2017-08-08,32
2019026738,PARAGON GROUP LLC,Building Residential - New,Single Family Residence,2019-05-08,2019-07-16,69
2019063788,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-10-18,2019-11-13,26
2019063787,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-10-18,2019-11-13,26
2019041614,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-07-15,2019-10-07,84
2019041607,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-07-15,2019-10-07,84
2019041618,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-07-15,2019-10-07,84
2019041616,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-07-15,2019-10-07,84
2019041595,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-07-15,2019-10-07,84
2019041623,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-07-15,2019-10-07,84
2019041597,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-07-15,2019-10-07,84
2019045977,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-08-01,2019-08-21,20
2019041601,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-07-15,2019-10-07,84
2019041603,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-07-15,2019-10-07,84
2019041626,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-07-15,2019-10-07,84
2019032250,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-06-03,2019-08-21,79
2019045975,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-08-01,2019-08-21,20
2019045745,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-07-31,2019-08-21,21
2019041594,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-07-15,2019-10-07,84
2019041627,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-07-15,2019-10-07,84
2018050491,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2018-08-22,2018-08-28,6
2019057875,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-09-23,2019-10-09,16
2019045748,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-07-31,2019-08-27,27
2019045751,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-07-31,2019-08-27,27
2019045981,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-08-01,2019-08-27,26
2019045983,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-08-01,2019-08-27,26
2019045758,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-07-31,2019-08-27,27
2018066793,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2018-10-22,2018-11-05,14
2019049209,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-08-15,2019-08-30,15
2019050783,PARAGON GROUP LLC,Building Residential - New,Single Family Residence,2019-08-22,2019-11-15,85
2019049207,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-08-15,2019-08-30,15
2019002945,LEGACY SOUTH BUILDERS LLC,Building Residential - New,Single Family Residence,2019-01-16,2019-07-12,177
2019002934,LEGACY SOUTH BUILDERS LLC,Building Residential - New,Single Family Residence,2019-01-16,2019-07-12,177
2019049198,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-08-15,2019-08-30,15
2019049210,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-08-15,2019-08-30,15
2019051347,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-08-26,2019-08-30,4
2019049201,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-08-15,2019-08-30,15
2019051344,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-08-26,2019-08-30,4
2019049199,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-08-15,2019-08-30,15
2019049206,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-08-15,2019-08-30,15
2019046248,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-08-02,2019-08-30,28
2020000201,LEGACY SOUTH BUILDERS LLC,Building Residential - New,Single Family Residence,2020-01-02,2020-01-06,4
2020000207,LEGACY SOUTH BUILDERS LLC,Building Residential - New,Single Family Residence,2020-01-02,2020-01-06,4
2018066506,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2018-10-19,2018-11-13,25
2019050695,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-08-22,2019-09-04,13
2019050705,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-08-22,2019-09-04,13
2019050673,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-08-22,2019-09-04,13
2018076492,PARAGON GROUP LLC,Building Residential - New,Single Family Residence,2018-12-07,2018-12-17,10
2019050697,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-08-22,2019-09-04,13
2019050690,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-08-22,2019-09-04,13
2019050678,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-08-22,2019-09-04,13
2019050688,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-08-22,2019-09-04,13
2019067732,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-11-05,2019-11-18,13
2019067725,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-11-05,2019-11-18,13
2019069344,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-11-12,2019-11-18,6
2019069059,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-11-11,2019-11-18,7
2019069057,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-11-11,2019-11-18,7
2019054373,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-09-09,2019-10-15,36
2020000235,LEGACY SOUTH BUILDERS LLC,Building Residential - New,Single Family Residence,2020-01-02,2020-01-06,4
2020000224,LEGACY SOUTH BUILDERS LLC,Building Residential - New,Single Family Residence,2020-01-02,2020-01-06,4
2019054480,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-09-09,2019-10-15,36
2019054530,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-09-10,2019-10-15,35
2019059915,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-10-01,2019-10-15,14
2019054360,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-09-09,2019-10-15,36
2019054527,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-09-10,2019-10-15,35
2019054415,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-09-09,2019-10-15,36
2019059909,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-10-01,2019-10-15,14
2019054537,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-09-10,2019-10-15,35
2019054531,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-09-10,2019-10-15,35
2019054540,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-09-10,2019-10-15,35
2019054456,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-09-09,2019-10-15,36
2019054368,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-09-09,2019-10-15,36
2019059911,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-10-01,2019-10-15,14
2019059905,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-10-01,2019-10-15,14
2019054376,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-09-09,2019-10-15,36
2019054523,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-09-10,2019-10-15,35
2019054543,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-09-10,2019-10-15,35
2019054378,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-09-09,2019-10-15,36
2019054365,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-09-09,2019-10-15,36
2019054539,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-09-10,2019-10-15,35
