HHID,AverageTimeSitting,AvgDrinksPerWeek,MorningNightPerson
91002479.0,10.0,0.0,2.0
91002491.0,8.0,3.0,2.0
91002492.0,4.0,0.0,3.0
91002493.0,10.0,6.0,4.0
91002497.0,12.0,12.0,3.0
91002499.0,8.0,12.0,4.0
91002501.0,10.0,0.0,3.0
91002502.0,10.0,0.0,1.0
91002504.0,6.0,10.0,5.0
91002505.0,9.0,6.0,4.0
91002506.0,12.0,12.0,4.0
91002508.0,16.0,0.0,4.0
91002512.0,6.0,18.0,2.0
91002516.0,5.0,4.0,2.0
91002540.0,6.0,0.0,4.0
91002550.0,1.0,2.0,1.0
91002554.0,10.0,0.0,1.0
91002558.0,4.0,1.0,2.0
91002563.0,4.0,7.0,1.0
91002566.0,8.0,2.0,3.0
91002569.0,9.0,2.0,1.0
91002579.0,6.0,0.0,1.0
91002582.0,10.0,2.0,1.0
91002594.0,7.0,0.0,3.0
91002610.0,7.0,6.0,1.0
91002612.0,8.0,6.0,2.0
91002615.0,6.0,0.0,3.0
91002616.0,3.0,14.0,3.0
91002624.0,6.0,12.0,3.0
91002625.0,16.0,0.0,1.0
91002627.0,8.0,14.0,1.0
91002642.0,1.0,0.0,4.0
91002651.0,10.0,0.0,1.0
91002652.0,6.0,35.0,2.0
91002656.0,3.0,0.0,2.0
91002657.0,5.0,3.0,1.0
91002663.0,12.0,3.0,3.0
91002665.0,7.0,2.0,2.0
91002668.0,3.0,6.0,1.0
91002669.0,8.0,0.0,4.0
91002675.0,4.0,0.0,4.0
91002681.0,8.0,0.0,3.0
91002689.0,7.0,1.0,1.0
91002692.0,2.0,0.0,1.0
91002696.0,6.0,0.0,1.0
91002704.0,13.0,3.0,2.0
91002710.0,3.0,3.0,2.0
91002731.0,6.0,0.0,3.0
91002734.0,5.0,0.0,5.0
91002738.0,3.0,12.0,3.0
91002747.0,6.0,6.0,1.0
91002751.0,4.0,0.0,1.0
91002771.0,6.0,1.0,2.0
91002774.0,12.0,0.0,1.0
91002779.0,5.0,1.0,4.0
91002784.0,16.0,0.0,3.0
91002790.0,5.0,1.0,5.0
91002797.0,12.0,1.0,3.0
91002811.0,8.0,0.0,1.0
91002814.0,4.0,0.0,2.0
91002829.0,8.0,0.0,2.0
91002835.0,9.0,2.0,1.0
91002843.0,3.0,0.0,4.0
91002844.0,7.0,1.0,4.0
91002852.0,5.0,0.0,5.0
91002859.0,5.0,0.0,4.0
91002877.0,10.0,3.0,5.0
91002880.0,5.0,4.0,3.0
91002901.0,8.0,0.0,4.0
91002903.0,5.0,21.0,1.0
91002910.0,5.0,0.0,3.0
91002922.0,3.0,0.0,5.0
91002926.0,8.0,0.0,1.0
91002931.0,8.0,0.0,1.0
91002932.0,3.0,0.0,4.0
91002942.0,20.0,1.0,5.0
91002954.0,7.0,0.0,1.0
91002959.0,12.0,0.0,5.0
91002960.0,6.0,0.0,2.0
91002961.0,8.0,0.0,1.0
91002988.0,6.0,4.0,2.0
91002992.0,8.0,2.0,3.0
91002994.0,8.0,0.0,2.0
91003001.0,8.0,0.0,1.0
91003025.0,5.0,1.0,4.0
91003043.0,8.0,0.0,1.0
91003052.0,6.0,9.0,1.0
91003058.0,2.0,4.0,1.0
91003062.0,8.0,1.0,4.0
91003071.0,8.0,0.0,1.0
91003085.0,6.0,0.0,3.0
91003093.0,9.0,0.0,1.0
91003098.0,12.0,10.0,2.0
91003108.0,1.0,8.0,1.0
91003116.0,6.0,35.0,3.0
91003128.0,4.0,1.0,1.0
91003130.0,8.0,5.0,2.0
91003137.0,6.0,3.0,4.0
91003138.0,4.0,1.0,4.0
91003151.0,2.0,5.0,1.0
91003157.0,8.0,2.0,2.0
91003163.0,12.0,0.0,4.0
91003168.0,3.0,35.0,1.0
91003175.0,5.0,4.0,4.0
91003179.0,5.0,0.0,4.0
91003182.0,4.0,14.0,1.0
91003219.0,8.0,2.0,3.0
91003221.0,10.0,3.0,1.0
91003226.0,10.0,2.0,1.0
91003237.0,3.0,0.0,1.0
